name,type,compression_ratio,n_samples,psnr_mean,psnr_std,ssim_mean,ssim_std,ms_ssim_mean,enl_ratio_mean,epi_mean
baseline_4x,autoencoder,4.0,50,24.850997657775878,0.332781149159641,0.8630649642665753,0.01242164526260189,0.9728738033771515,1.0131610016537087,0.9426841105476567
resnet_4x,autoencoder,4.0,50,25.560460777282714,0.49591073851144485,0.9028900685269392,0.012605306350001526,0.9745249021053314,1.0143820605124794,0.953638431272229
jpeg2000_4x,codec,4.0,50,inf,nan,1.0,0.0,1.0,1.0,1.0
baseline_8x,autoencoder,8.0,50,21.653830223083496,0.35516376562645396,0.6955356561290297,0.01735749809571165,0.9152228736877441,1.0632048091232027,0.869398995067833
resnet_8x,autoencoder,8.0,50,23.707332038879393,0.40093556828211924,0.8517571799915082,0.008422156179375086,0.9409193098545074,1.073106827329136,0.9275433456269223
jpeg2000_8x,codec,8.0,50,42.04353126525879,0.4148949386054672,0.9974247325022124,0.00015528974973488254,0.9989212071895599,0.9727480907744669,0.999232229236013
baseline_16x,autoencoder,16.0,50,19.347813339233397,0.36417300554430887,0.5930766332726886,0.013517415156518412,0.7562154078483582,0.9157644546454019,0.8413388575722212
resnet_16x,autoencoder,16.0,50,21.145755729675294,0.3309696075197581,0.7468474344929159,0.012342619535637051,0.867935814857483,0.9654405555780597,0.8863742565922667
jpeg2000_16x,codec,16.0,50,31.310833892822266,0.3344726353618866,0.9673185891051292,0.0020049616974617225,0.9915093457698823,1.0058327017173796,0.9902293026409619
