run_id,timestamp,latent_channels,compression_ratio,total_params,batch_size,learning_rate,mse_weight,ssim_weight,train_size,val_size,psnr_mean,psnr_std,ssim_mean,ssim_std,mse_mean,mae_mean,epi_mean,hist_sim_mean,latent_sparsity,active_channels,best_val_loss
eval_20260118_200408,20260118_200408,64,4.0,2872257,32,0.0001,1.0,0.1,10000,1000,24.49229341186583,0.06360030211905607,0.8629435597868285,0.0033634262430802925,0.0035685317711795506,0.04673889189507463,0.9712749461177737,0.7287334501743317,0.011890220642089843,64,0.018843064841348678
eval_20260118_223833,20260118_223833,128,2.0,3691521,32,0.0001,1.0,0.1,20000,2000,31.270979997657594,0.1409091775046348,0.9730661442933248,0.001184617611635576,0.0007581341057182669,0.020985824253690975,1.0026870272344066,0.7219186358981662,0.03541746139526367,128,0.003782532207431301
eval_20260120_223739,20260120_223739,64,4.0,2872257,32,0.0001,1.0,0.1,40000,10000,25.25985808437244,0.06583149447766809,0.8790645165116895,0.0028690654617740566,0.0029916033601967065,0.04253683096808069,0.9723828923933137,0.7292929564040309,0.018825340270996093,64,0.016450001402927662
